Model,Repo,STEM,Social Science,Humanities,Indonesian Lang.,Local L. Culture,Average
GPT-3.5 (175B),https://chat.openai.com/,54.3,62.5,64.0,62.2,39.3,53.2
mT0_xxl (13B),https://huggingface.co/bigscience/mt0-xxl,33.5,46.2,47.9,52.6,39.6,42.5
Bahasa (4B),,34.32387312186979,31.933099961104627,47.961630695443645,46.49859943977591,41.62162162162162,40.60476603698017
mT0_xl (3.7B),https://huggingface.co/bigscience/mt0-xl,31.4,42.9,41.0,47.8,35.7,38.2
BLOOMZ (7.1B),https://huggingface.co/bigscience/bloomz-7b1,37.1,46.7,44.0,49.1,28.2,38.0
BLOOMZ (3B),https://huggingface.co/bigscience/bloomz-3b,33.5,44.5,39.7,46.7,29.8,36.4
LLaMA (65B),https://arxiv.org/abs/2302.13971,33.0,37.7,40.8,41.4,32.1,35.8
BLOOMZ (1.7B),https://huggingface.co/bigscience/bloomz-1b7,31.5,39.3,38.3,42.8,29.4,34.4
Falcon (40B),https://huggingface.co/tiiuae/falcon-40b,30.2,34.8,34.8,34.9,29.2,32.1
Bactrian-X-LLaMA (13B),https://github.com/mbzuai-nlp/bactrian-x,28.3,29.9,32.8,35.2,29.2,30.3
LLaMA (30B),https://arxiv.org/abs/2302.13971,25.4,23.5,25.9,28.4,28.7,26.5
Bactrian-X-LLaMA (7B),https://github.com/mbzuai-nlp/bactrian-x,23.3,24.0,26.0,26.1,27.5,25.7
LLaMA (13B),https://arxiv.org/abs/2302.13971,24.1,23.0,24.4,29.5,26.7,25.3
LLaMA (7B),https://arxiv.org/abs/2302.13971,22.8,23.1,25.1,26.7,27.6,25.3
mT0_large (1.2B),https://huggingface.co/bigscience/mt0-large,22.0,23.4,25.1,27.3,27.6,25.2
XGLM (2.9B),https://huggingface.co/facebook/xglm-2.9B,22.9,23.2,25.4,26.3,27.2,25.2
XGLM (564M),https://huggingface.co/facebook/xglm-564M,22.1,23.0,25.6,25.6,27.5,25.2
Falcon (7B),https://huggingface.co/tiiuae/falcon-7b,22.1,22.9,25.5,25.7,27.5,25.1
XGLM (4.5B),https://huggingface.co/facebook/xglm-4.5B,21.8,23.1,25.6,25.8,27.1,25.0
mT0_base (580M),https://huggingface.co/bigscience/mt0-base,22.6,22.6,25.7,25.6,26.9,25.0
mT0_small (300M),https://huggingface.co/bigscience/mt0-small,21.8,21.4,25.7,25.1,27.6,24.9
XGLM (7.5B),https://huggingface.co/facebook/xglm-7.5B,22.7,21.7,23.6,24.5,27.5,24.5
Random,,21.9,23.4,23.5,24.4,26.6,24.4
XGLM (1.7B),https://huggingface.co/facebook/xglm-1.7B,20.9,23.0,24.6,24.8,26.6,24.4
BLOOMZ (560M),https://huggingface.co/bigscience/bloomz-560m,22.9,23.6,23.2,24.2,25.1,24.0
BLOOMZ (1.1B),https://huggingface.co/bigscience/bloomz-1b1,20.4,21.4,21.1,23.5,24.7,22.4
